mode,N,threads,run,seconds
omp_indivisible,80000,4,5,3.506045
omp_indivisible,80000,4,6,3.549882
omp_indivisible,80000,4,7,3.444120
omp_indivisible,80000,4,8,3.790762
omp_indivisible,80000,4,9,3.589622
omp_indivisible,80000,4,10,3.353969
omp_indivisible,80000,8,1,2.707321
omp_indivisible,80000,8,2,2.722872
omp_indivisible,80000,8,3,2.727113
omp_indivisible,80000,8,4,2.760848
omp_indivisible,80000,8,5,2.710447
omp_indivisible,80000,8,6,2.734444
omp_indivisible,80000,8,7,2.713801
omp_indivisible,80000,8,8,2.797470
omp_indivisible,80000,8,9,2.715700
omp_indivisible,80000,8,10,2.775636
omp_indivisible,80000,16,1,2.743866
omp_indivisible,80000,16,2,2.722011
omp_indivisible,80000,16,3,2.703739
omp_indivisible,80000,16,4,2.738920
omp_indivisible,80000,16,5,2.713022
omp_indivisible,80000,16,6,2.760343
omp_indivisible,80000,16,7,2.749203
omp_indivisible,80000,16,8,2.718307
omp_indivisible,80000,16,9,2.774657
omp_indivisible,80000,16,10,2.711589
omp_cuadrantes,80000,1,1,9.529575
omp_cuadrantes,80000,1,2,9.435841
omp_cuadrantes,80000,1,3,9.455695
omp_cuadrantes,80000,1,4,9.453062
omp_cuadrantes,80000,1,5,9.320269
omp_cuadrantes,80000,1,6,9.309705
omp_cuadrantes,80000,1,7,9.472670
omp_cuadrantes,80000,1,8,9.479745
omp_cuadrantes,80000,1,9,9.454846
omp_cuadrantes,80000,1,10,9.469140
omp_cuadrantes,80000,4,1,3.315117
omp_cuadrantes,80000,4,2,3.304013
omp_cuadrantes,80000,4,3,3.332567
omp_cuadrantes,80000,4,4,3.374285
omp_cuadrantes,80000,4,5,3.404573
omp_cuadrantes,80000,4,6,3.404156
omp_cuadrantes,80000,4,7,3.416928
omp_cuadrantes,80000,4,8,3.371142
omp_cuadrantes,80000,4,9,3.373827
omp_cuadrantes,80000,4,10,3.382094
omp_cuadrantes,80000,8,1,2.711535
omp_cuadrantes,80000,8,2,2.693715
omp_cuadrantes,80000,8,3,2.706502
omp_cuadrantes,80000,8,4,2.787839
omp_cuadrantes,80000,8,5,2.711688
omp_cuadrantes,80000,8,6,2.737313
omp_cuadrantes,80000,8,7,2.776511
omp_cuadrantes,80000,8,8,2.721765
omp_cuadrantes,80000,8,9,2.722816
omp_cuadrantes,80000,8,10,2.764781
omp_cuadrantes,80000,16,1,2.705159
omp_cuadrantes,80000,16,2,2.714275
omp_cuadrantes,80000,16,3,2.699613
omp_cuadrantes,80000,16,4,2.704794
omp_cuadrantes,80000,16,5,2.728765
omp_cuadrantes,80000,16,6,2.717149
omp_cuadrantes,80000,16,7,2.719274
omp_cuadrantes,80000,16,8,2.698577
omp_cuadrantes,80000,16,9,2.708003
omp_cuadrantes,80000,16,10,2.711282
serial,120000,1,1,20.942142
serial,120000,1,2,20.733951
serial,120000,1,3,20.848831
serial,120000,1,4,20.733767
serial,120000,1,5,20.754411
serial,120000,1,6,21.023427
serial,120000,1,7,20.999320
serial,120000,1,8,20.733305
serial,120000,1,9,20.319608
serial,120000,1,10,20.778744
omp_indivisible,120000,1,1,22.258619
omp_indivisible,120000,1,2,21.572446
omp_indivisible,120000,1,3,21.971603
omp_indivisible,120000,1,4,21.731485
omp_indivisible,120000,1,5,21.948929
omp_indivisible,120000,1,6,21.866253
omp_indivisible,120000,1,7,21.720133
omp_indivisible,120000,1,8,21.863351
omp_indivisible,120000,1,9,21.751316
omp_indivisible,120000,1,10,21.799840
omp_indivisible,120000,4,1,7.770266
omp_indivisible,120000,4,2,7.951966
omp_indivisible,120000,4,3,8.088097
omp_indivisible,120000,4,4,7.883283
omp_indivisible,120000,4,5,8.166196
omp_indivisible,120000,4,6,8.131901
omp_indivisible,120000,4,7,8.245301
omp_indivisible,120000,4,8,8.322931
omp_indivisible,120000,4,9,8.118528
omp_indivisible,120000,4,10,8.303709
omp_indivisible,120000,8,1,6.678728
omp_indivisible,120000,8,2,6.569661
omp_indivisible,120000,8,3,6.676938
omp_indivisible,120000,8,4,6.741172
omp_indivisible,120000,8,5,6.725924
omp_indivisible,120000,8,6,6.696951
omp_indivisible,120000,8,7,6.581349
omp_indivisible,120000,8,8,6.843238
omp_indivisible,120000,8,9,6.447723
omp_indivisible,120000,8,10,6.770237
omp_indivisible,120000,16,1,6.610554
omp_indivisible,120000,16,2,6.753450
omp_indivisible,120000,16,3,6.644232
omp_indivisible,120000,16,4,6.695209
omp_indivisible,120000,16,5,6.611734
omp_indivisible,120000,16,6,6.750848
omp_indivisible,120000,16,7,6.648657
omp_indivisible,120000,16,8,6.703347
omp_indivisible,120000,16,9,6.681357
omp_indivisible,120000,16,10,6.511438
omp_cuadrantes,120000,1,1,21.760367
omp_cuadrantes,120000,1,2,21.878328
omp_cuadrantes,120000,1,3,21.743114
omp_cuadrantes,120000,1,4,21.837147
omp_cuadrantes,120000,1,5,21.810745
omp_cuadrantes,120000,1,6,21.809459
omp_cuadrantes,120000,1,7,21.786729
omp_cuadrantes,120000,1,8,22.000229
omp_cuadrantes,120000,1,9,21.858820
omp_cuadrantes,120000,1,10,21.828352
omp_cuadrantes,120000,4,1,8.006944
omp_cuadrantes,120000,4,2,7.978074
omp_cuadrantes,120000,4,3,8.316822
omp_cuadrantes,120000,4,4,8.112178
omp_cuadrantes,120000,4,5,8.257492
omp_cuadrantes,120000,4,6,8.199718
omp_cuadrantes,120000,4,7,8.305006
omp_cuadrantes,120000,4,8,8.287959
omp_cuadrantes,120000,4,9,8.254764
omp_cuadrantes,120000,4,10,8.299568
omp_cuadrantes,120000,8,1,6.619303
omp_cuadrantes,120000,8,2,6.868297
omp_cuadrantes,120000,8,3,6.726460
omp_cuadrantes,120000,8,4,6.796372
omp_cuadrantes,120000,8,5,7.016978
omp_cuadrantes,120000,8,6,7.657192
omp_cuadrantes,120000,8,7,7.275831
omp_cuadrantes,120000,8,8,7.155214
omp_cuadrantes,120000,8,9,6.980027
omp_cuadrantes,120000,8,10,7.343868
omp_cuadrantes,120000,16,1,7.458382
omp_cuadrantes,120000,16,2,7.149956
omp_cuadrantes,120000,16,3,7.412990
omp_cuadrantes,120000,16,4,7.310859
omp_cuadrantes,120000,16,5,7.267002
omp_cuadrantes,120000,16,6,7.409569
omp_cuadrantes,120000,16,7,7.324418
omp_cuadrantes,120000,16,8,6.858286
omp_cuadrantes,120000,16,9,6.906932
omp_cuadrantes,120000,16,10,6.741808
serial,140000,1,1,28.836924
serial,140000,1,2,28.959493
serial,140000,1,3,28.418458
serial,140000,1,4,28.982023
serial,140000,1,5,28.353756
